Date,last price
3/9/2010, 11.80 
3/10/2010, 12.00 
3/11/2010, 12.00 
3/12/2010, 12.00 
3/15/2010, 12.05 
3/16/2010, 12.15 
3/17/2010, 12.30 
3/18/2010, 12.35 
3/19/2010, 12.50 
3/22/2010, 13.00 
3/23/2010, 13.00 
3/24/2010, 13.25 
3/25/2010, 13.38 
3/26/2010, 13.63 
3/29/2010, 13.50 
3/30/2010, 13.88 
3/31/2010, 13.75 
4/1/2010, 14.13 
4/2/2010, 14.00 
4/5/2010, 14.13 
4/7/2010, 14.13 
4/8/2010, 13.88 
4/9/2010, 14.00 
4/12/2010, 13.75 
4/16/2010, 13.00 
4/19/2010, 13.13 
4/20/2010, 13.88 
4/21/2010, 13.75 
4/22/2010, 14.00 
4/23/2010, 14.25 
4/26/2010, 14.13 
4/27/2010, 14.13 
4/28/2010, 14.00 
4/29/2010, 14.00 
4/30/2010, 13.88 
5/4/2010, 14.88 
5/6/2010, 14.50 
5/7/2010, 14.13 
5/10/2010, 14.25 
5/11/2010, 14.13 
5/12/2010, 14.25 
5/13/2010, 14.00 
5/14/2010, 13.50 
5/17/2010, 13.75 
5/18/2010, 13.75 
5/19/2010, 13.75 
5/24/2010, 13.25 
5/25/2010, 13.13 
5/26/2010, 14.13 
5/27/2010, 13.63 
5/31/2010, 13.88 
6/1/2010, 13.50 
6/2/2010, 13.88 
6/3/2010, 14.25 
6/4/2010, 14.63 
6/7/2010, 14.25 
6/8/2010, 14.13 
6/9/2010, 14.25 
6/10/2010, 14.00 
6/11/2010, 14.13 
6/14/2010, 14.25 
6/15/2010, 14.25 
6/16/2010, 14.25 
6/17/2010, 14.38 
6/18/2010, 14.38 
6/21/2010, 14.25 
6/22/2010, 14.25 
6/23/2010, 14.63 
6/24/2010, 14.13 
6/25/2010, 14.38 
6/28/2010, 14.38 
6/29/2010, 14.38 
6/30/2010, 14.38 
7/2/2010, 14.25 
7/5/2010, 14.13 
7/6/2010, 14.25 
7/7/2010, 14.63 
7/8/2010, 14.75 
7/9/2010, 14.50 
7/12/2010, 14.75 
7/13/2010, 14.88 
7/14/2010, 14.63 
7/15/2010, 14.63 
7/16/2010, 14.88 
7/19/2010, 14.75 
7/20/2010, 14.63 
7/21/2010, 15.38 
7/22/2010, 15.25 
7/23/2010, 15.88 
7/27/2010, 15.50 
7/28/2010, 15.38 
7/29/2010, 15.75 
7/30/2010, 16.13 
8/2/2010, 16.00 
8/3/2010, 16.00 
8/4/2010, 15.88 
8/5/2010, 16.00 
8/6/2010, 16.00 
8/9/2010, 15.88 
8/10/2010, 15.88 
8/11/2010, 16.25 
8/16/2010, 17.38 
8/17/2010, 17.63 
8/18/2010, 17.63 
8/19/2010, 17.63 
8/20/2010, 17.75 
8/23/2010, 17.88 
8/24/2010, 17.88 
8/25/2010, 17.88 
8/26/2010, 18.38 
8/27/2010, 20.00 
8/30/2010, 20.00 
8/31/2010, 19.88 
9/1/2010, 19.75 
9/2/2010, 19.50 
9/3/2010, 19.13 
9/6/2010, 17.75 
9/7/2010, 18.63 
9/8/2010, 18.75 
9/9/2010, 18.50 
9/10/2010, 18.88 
9/13/2010, 19.00 
9/14/2010, 19.00 
9/15/2010, 19.00 
9/16/2010, 19.50 
9/17/2010, 19.63 
9/20/2010, 19.88 
9/21/2010, 19.88 
9/22/2010, 19.75 
9/23/2010, 19.75 
9/24/2010, 20.00 
9/27/2010, 21.13 
9/28/2010, 21.38 
9/29/2010, 21.50 
9/30/2010, 21.13 
10/1/2010, 20.75 
10/4/2010, 21.00 
10/5/2010, 20.88 
10/6/2010, 21.00 
10/7/2010, 21.00 
10/8/2010, 20.63 
10/11/2010, 20.75 
10/12/2010, 20.50 
10/13/2010, 20.50 
10/14/2010, 20.25 
10/15/2010, 20.00 
10/18/2010, 20.38 
10/19/2010, 20.25 
10/20/2010, 20.00 
10/21/2010, 20.13 
10/22/2010, 21.13 
10/26/2010, 21.63 
10/27/2010, 21.38 
10/28/2010, 22.13 
10/29/2010, 22.25 
11/1/2010, 22.50 
11/2/2010, 22.25 
11/3/2010, 21.63 
11/4/2010, 21.50 
11/5/2010, 21.38 
11/8/2010, 21.50 
11/9/2010, 22.13 
11/10/2010, 21.25 
11/11/2010, 20.38 
11/12/2010, 20.13 
11/15/2010, 20.25 
11/16/2010, 19.75 
11/17/2010, 19.50 
11/18/2010, 20.50 
11/19/2010, 20.88 
11/22/2010, 21.13 
11/23/2010, 21.00 
11/24/2010, 20.50 
11/25/2010, 20.38 
11/26/2010, 20.38 
11/29/2010, 20.25 
11/30/2010, 20.50 
12/1/2010, 21.25 
12/2/2010, 21.50 
12/3/2010, 21.38 
12/7/2010, 21.00 
12/8/2010, 20.13 
12/9/2010, 20.38 
12/13/2010, 20.50 
12/14/2010, 20.88 
12/15/2010, 20.50 
12/16/2010, 20.13 
12/17/2010, 20.00 
12/20/2010, 19.88 
12/21/2010, 19.75 
12/22/2010, 19.75 
12/23/2010, 19.88 
12/24/2010, 19.75 
12/27/2010, 20.13 
12/28/2010, 20.13 
12/29/2010, 19.75 
12/30/2010, 19.63 
1/4/2011, 20.00 
1/5/2011, 20.00 
1/6/2011, 20.13 
1/7/2011, 19.63 
1/10/2011, 18.88 
1/11/2011, 19.50 
1/12/2011, 18.75 
1/13/2011, 19.25 
1/14/2011, 19.00 
1/17/2011, 18.88 
1/18/2011, 18.88 
1/19/2011, 18.75 
1/20/2011, 18.50 
1/21/2011, 18.25 
1/24/2011, 17.63 
1/25/2011, 17.50 
1/26/2011, 18.25 
1/27/2011, 18.88 
1/28/2011, 19.25 
1/31/2011, 19.25 
2/1/2011, 19.00 
2/2/2011, 19.63 
2/3/2011, 19.25 
2/4/2011, 18.88 
2/7/2011, 18.38 
2/8/2011, 18.25 
2/9/2011, 17.88 
2/10/2011, 17.00 
2/11/2011, 16.63 
2/14/2011, 17.13 
2/15/2011, 17.13 
2/16/2011, 17.50 
2/17/2011, 18.63 
2/21/2011, 19.38 
2/22/2011, 19.00 
2/23/2011, 19.25 
2/24/2011, 18.88 
2/25/2011, 19.50 
2/28/2011, 19.50 
3/1/2011, 19.50 
3/2/2011, 19.38 
3/3/2011, 19.50 
3/4/2011, 19.75 
3/7/2011, 19.88 
3/8/2011, 20.13 
3/9/2011, 20.25 
3/10/2011, 20.13 
3/11/2011, 19.88 
3/14/2011, 19.63 
3/15/2011, 19.13 
3/16/2011, 19.38 
3/17/2011, 19.00 
3/18/2011, 18.75 
3/21/2011, 19.00 
3/22/2011, 18.88 
3/23/2011, 19.00 
3/24/2011, 19.38 
3/25/2011, 19.50 
3/28/2011, 19.38 
3/29/2011, 19.63 
3/30/2011, 20.13 
3/31/2011, 20.00 
4/1/2011, 19.88 
4/4/2011, 20.00 
4/5/2011, 20.00 
4/7/2011, 20.25 
4/8/2011, 20.38 
4/11/2011, 20.50 
4/12/2011, 20.88 
4/18/2011, 21.63 
4/19/2011, 22.00 
4/20/2011, 22.88 
4/21/2011, 22.63 
4/22/2011, 22.38 
4/25/2011, 22.00 
4/26/2011, 21.88 
4/27/2011, 22.50 
4/28/2011, 21.63 
4/29/2011, 21.63 
5/3/2011, 21.25 
5/4/2011, 21.13 
5/6/2011, 21.13 
5/9/2011, 21.38 
5/10/2011, 22.38 
5/11/2011, 22.88 
5/12/2011, 22.38 
5/13/2011, 22.00 
5/18/2011, 21.63 
5/19/2011, 21.38 
